Term,Definition
Par Value,The face value of a bond.
Lease,"A contractual agreement in which one party, the lessee, pays the lessor for the use of an asset."
Duration,A measure of the sensitivity of the price of a bond to a change in interest rates.
Equity Financing,The process of raising capital through the sale of shares in an enterprise.
Sovereign Debt,Debt issued by a national government in a foreign currency in order to finance the issuing country's growth.
Market Value,The current quoted price at which investors buy or sell a share of common stock or a bond at a given time.
Tender Offer,A public offer to purchase some or all of shareholders' shares in a corporation.
Dividend Reinvestment Plan (DRIP),A plan offered by a corporation that allows investors to reinvest their cash dividends into additional shares of stock.
Option Premium,The income received by an investor who sells or 'writes' an option contract to another party.
Market Order,An order to buy or sell a stock at the current market price.
Deflation,The reduction of the general level of prices in an economy.
Dow Jones Industrial Average (DJIA),A stock market index that measures the stock performance of 30 large companies listed on stock exchanges in the United States.
Basis Point,"One hundredth of one percent, used chiefly in expressing differences in interest rates."
Haircut,The difference between the market value of an asset and the amount that can be used as collateral for a loan.
Balance of Payments,A statement that summarizes an economy’s transactions with the rest of the world for a specified time period.
Bullish,An expectation that prices will rise in the future.
Cash Reserve Ratio (CRR),A central bank regulation that sets the minimum fraction of customer deposits and notes that each commercial bank must hold as reserves.
Overhead,The ongoing administrative expenses of a business that are not directly attributable to a specific business activity.
Managed Fund,An investment fund that is managed by a professional investment manager.
EBITDA,"Earnings before interest, taxes, depreciation, and amortization; a measure of a company's overall financial performance."
Red Herring,"A preliminary prospectus filed by a company with the SEC, usually in connection with an IPO."
Treasury Bond (T-Bond),A long-term government debt security with a fixed interest rate and maturity of more than 10 years.
Total Return,The actual rate of return of an investment or a pool of investments over a given evaluation period.
Portfolio,A range of investments held by an individual or institution.
Fiscal Policy,The use of government revenue collection and expenditure to influence the economy.
Inflation,"The rate at which the general level of prices for goods and services is rising, and subsequently, the purchasing power of currency is falling."
Book Value per Share,A measure of a company's net asset value on a per-share basis.
Custodial Account,"An account created for the benefit of a minor, with an adult custodian managing the account until the minor reaches a certain age."
Chattel Mortgage,A loan arrangement in which an item of movable personal property is used as security for the loan.
Current Assets,Cash and other assets that are expected to be converted to cash within a year.
Primary Market,The market where securities are created and sold for the first time.
Deferred Tax,A tax liability or asset resulting from temporary differences between the accounting and tax treatment of transactions.
Leaseback,An arrangement where the seller of an asset leases back the same asset from the purchaser.
Zero-Based Budgeting,A method of budgeting in which all expenses must be justified for each new period.
Cash Flow Statement,A financial statement that shows the changes in the balance sheet accounts and income affects cash and cash equivalents.
Equity Market,"A market in which shares are issued and traded, either through exchanges or over-the-counter markets."
Vesting,The process by which an employee accrues non-forfeitable rights over employer-provided stock incentives or employer contributions to a retirement plan.
Volatility Index (VIX),A measure of the stock market's expectation of volatility based on S&P 500 index options.
Options,"A financial derivative that gives the buyer the right, but not the obligation, to buy or sell an asset at a specified price on or before a certain date."
Marginal Tax Rate,The tax rate that applies to the last dollar of the taxable income.
Bearish,An expectation that prices will decline in the future.
Risk-Free Rate,The theoretical rate of return of an investment with zero risk.
Asset,Any resource owned by an individual or business that is expected to provide future economic benefits.
Forex Market,The market in which currencies are traded.
Fixed Asset,A long-term tangible piece of property or equipment that a firm owns and uses in its operations to generate income.
Current Account,"A country's trade balance, plus net income, and direct payments between it and other countries."
Closed-End Fund,A type of investment fund that has a fixed number of shares which are not redeemable from the fund.
Equity Multiplier,A financial leverage ratio that measures the proportion of a company's assets that are financed by its shareholders' equity.
Monetary Policy,"The process by which a central bank, currency board, or other regulatory committee controls the money supply."
Current Ratio,A liquidity ratio that measures a company's ability to pay short-term obligations or those due within one year.
Commodity,A basic good used in commerce that is interchangeable with other commodities of the same type.
Authorized Share Capital,"The maximum number of shares that a corporation is legally permitted to issue, as specified in its articles of incorporation."
Short Interest,The total number of shares of a particular stock that have been sold short by investors but have not yet been covered or closed out.
Base Currency,"The first currency listed in a forex pair, also known as the transaction currency."
Volatility,A statistical measure of the dispersion of returns for a given security or market index.
Maturity Date,"The date on which the principal amount of a note, draft, acceptance bond, or other debt instrument becomes due."
Floating Interest Rate,An interest rate that moves up and down with the market or an index.
Futures,A financial contract obligating the buyer to purchase an asset or the seller to sell an asset at a predetermined future date and price.
Yield Spread,"The difference between the yields on different debt instruments, calculated by deducting the yield of one instrument from another."
Net Income,"A company's total earnings, calculated as revenue minus expenses, taxes, and costs of goods sold."
Microcap Stock,"A stock with a small market capitalization, typically between $50 million and $300 million."
Interest Rate,The amount charged by a lender to a borrower for the use of assets.
Accretion,The gradual increase in the value of a bond due to the interest earned but not yet paid.
Earnings Before Interest and Taxes (EBIT),A measure of a firm's profit that includes all expenses except interest and income tax expenses.
Tax Lien,A legal claim by a government entity against a noncompliant taxpayer's assets.
Credit Limit,The maximum amount of credit that a financial institution extends to a client.
Annuity,A financial product that provides regular payments over a specified period.
Debt-to-Equity Ratio,A financial ratio indicating the relative proportion of shareholders' equity and debt used to finance a company's assets.
Underwriting,The process by which investment bankers raise investment capital from investors on behalf of corporations and governments that are issuing securities.
Over-The-Counter (OTC),"The trading of securities, currencies, or other financial instruments directly between two parties without a central exchange or broker."
London Interbank Offered Rate (LIBOR),The benchmark rate that some of the world’s leading banks charge each other for short-term loans.
Escrow,A financial arrangement where a third party holds and regulates payment of the funds required for two parties involved in a given transaction.
Hedge Fund,"An alternative investment vehicle that uses pooled funds and employs numerous different strategies to earn active return, or alpha, for its investors."
Financial Planner,A qualified investment professional who helps individuals and corporations meet their long-term financial objectives.
Dividend Yield,A financial ratio that shows how much a company pays out in dividends each year relative to its share price.
Large Cap Stock,Stocks with a relatively large market capitalization.
Asset Management,"The direction of a client's cash and securities by a financial services company, usually an investment bank."
Current Liabilities,A company's debts or obligations that are due within one year.
Income Statement,A financial statement that shows a company's financial performance over a specific accounting period.
Money Market,The part of the financial market in which financial instruments with high liquidity and short maturities are traded.
Depression,A severe and prolonged downturn in economic activity.
Cost of Goods Sold (COGS),The direct costs attributable to the production of the goods sold by a company.
Leverage,The use of various financial instruments or borrowed capital to increase the potential return of an investment.
J-Curve,"A type of diagram where a curve initially falls, but then rises to a higher level than before the fall."
Diversification,A risk management strategy that mixes a wide variety of investments within a portfolio.
Securities and Exchange Commission (SEC),A U.S. government agency responsible for enforcing the laws concerning the trading of securities.
Affiliated Company,A company that is related to another company by being in the position of a member or a subordinate role.
Balance Sheet,"A financial statement that summarizes a company's assets, liabilities, and shareholders' equity at a specific point in time."
Backwardation,A market condition where the spot price of a commodity is higher than the future price.
Credit Union,A member-owned financial cooperative that provides traditional banking services.
Variable Cost,A cost that varies with the level of output.
Mutual Fund,"An investment vehicle made up of a pool of money collected from many investors to invest in securities such as stocks, bonds, money market instruments, and other assets."
Value Stock,A stock that tends to trade at a lower price relative to its fundamentals and is thus considered undervalued.
Covenant,A clause in a loan agreement that requires the borrower to do or refrain from doing certain things.
Federal Reserve System,The central banking system of the United States.
Hedging,Making an investment to reduce the risk of adverse price movements in an asset.
Warrant,"A derivative that confers the right, but not the obligation, to buy or sell a security, usually equity, at a certain price before expiration."
Dividends Per Share (DPS),The sum of declared dividends issued by a company for every ordinary share outstanding.
Small Cap Stock,Stocks with a relatively small market capitalization.
Averaging Down,The process of buying additional shares of a stock at a lower price than the original purchase price to bring down the average purchase price.
Buy and Hold,A long-term investment strategy where an investor buys stocks and holds them for a long period regardless of fluctuations in the market.
Subprime Loan,A type of loan offered to individuals who do not qualify for conventional loans due to their poor credit scores.
Balance of Trade,The difference between the monetary value of a nation's exports and imports over a certain period.
Capital Gains Distribution,The payment to shareholders that results from the sale of securities in a mutual fund's portfolio.
Revenue,The income generated from normal business operations and includes discounts and deductions for returned merchandise.
Goodwill,An intangible asset that arises when a buyer acquires an existing business.
Asset-Backed Security,"A financial security backed by a loan, lease, or receivables against assets other than real estate."
Swing Trading,A type of trading that attempts to capture gains in a stock within an overnight hold to several weeks.
Liability,A company's legal financial debts or obligations that arise during business operations.
Stock Split,"An increase in the number of shares of a company's stock, without a change in shareholders' equity."
Forward Contract,A customized contractual agreement to buy or sell an asset at a specified price on a future date.
Initial Public Offering (IPO),The process through which a private company becomes publicly traded by offering its shares to the public for the first time.
Earnings Yield,The earnings per share for the most recent 12-month period divided by the current market price per share.
Return on Equity (ROE),A measure of financial performance calculated by dividing net income by shareholders' equity.
Acquisition,When one company purchases most or all of another company's shares to gain control of that company.
Bankruptcy,A legal proceeding involving a person or business that is unable to repay their outstanding debts.
Hard Asset,A tangible asset such as real estate or commodities.
Earnings Per Share (EPS),A company's profit divided by the outstanding shares of its common stock.
Operating Margin,A measure of profitability that shows the percentage of revenue that exceeds operating costs.
Trust Deed,A formal document which outlines the terms of a trust agreement.
Holding Period,The amount of time an investment is held by an investor.
Intangible Asset,"An asset that is not physical in nature, such as a trademark, patent, or goodwill."
Capital Structure,"The mix of different forms of capital used to finance a company, including equity, debt, and hybrid securities."
Short Selling,The sale of a security that the seller has borrowed with the intention of buying it back later at a lower price.
Penny Stock,A small company's stock that typically trades for less than $5 per share.
Arbitrage,The simultaneous purchase and sale of an asset to profit from a difference in the price.
Zero-Coupon Bond,"A bond that does not pay interest but is traded at a deep discount, rendering profit at maturity when the bond is redeemed for its full face value."
Price-to-Earnings Ratio (P/E Ratio),A valuation ratio of a company's current share price compared to its per-share earnings.
Efficient Market Hypothesis (EMH),The theory that asset prices fully reflect all available information.
Cyclical Stock,A stock that is affected by macroeconomic or systematic changes in the overall economy.
Asset Allocation,"An investment strategy that aims to balance risk and reward by apportioning a portfolio's assets according to an individual's goals, risk tolerance, and investment horizon."
Coupon Rate,"The yield paid by a fixed-income security, which is the annual coupon payments divided by the bond's face or par value."
Yield Curve,A line that plots the interest rates of bonds having equal credit quality but differing maturity dates.
Fundamental Analysis,"A method of measuring a security's intrinsic value by examining related economic, financial, and other qualitative and quantitative factors."
Market Capitalization (Market Cap),The total dollar market value of a company's outstanding shares of stock.
Treasury Note (T-Note),A marketable U.S. government debt security with a fixed interest rate and a maturity between one and 10 years.
Liquidity Premium,The extra return that investors demand to compensate for the risk of an investment not being easily converted into cash.
Depository Receipt,A negotiable financial instrument issued by a bank to represent a foreign company's publicly traded securities.
Beta,A measure of a stock's volatility in relation to the overall market.
Secondary Market,"The market where investors purchase securities or assets from other investors, rather than from issuing companies directly."
Payback Period,The time required for the return on an investment to repay the sum of the original investment.
Structured Product,"A pre-packaged investment strategy based on derivatives such as a single security, a basket of securities, options, indices, commodities, debt issuance, and/or foreign currencies."
Spot Market,A public financial market in which financial instruments or commodities are traded for immediate delivery.
Market Liquidity,The extent to which a market allows assets to be bought and sold at stable prices.
Collateral,An asset that a borrower offers to a lender to secure a loan.
Dividend Stock,A stock that pays regular dividends.
Commodities Exchange,An entity that provides a marketplace for the buying and selling of commodities.
Exchange Rate Risk,The risk of an investment's value changing due to changes in currency exchange rates.
Return on Investment (ROI),A performance measure used to evaluate the efficiency or profitability of an investment.
Discount Bond,"A bond that is issued for less than its par (or face) value, or a bond currently trading for less than its par value in the secondary market."
Swap,"A derivative contract through which two parties exchange financial instruments, such as interest rates, commodities, or currencies."
Fiscal Year,A one-year period that companies and governments use for financial reporting and budgeting.
Certificate of Deposit (CD),A savings certificate with a fixed maturity date and specified fixed interest rate.
Share Buyback,The repurchase of a company's own shares from the marketplace.
Compound Interest,"Interest calculated on the initial principal, which also includes all of the accumulated interest from previous periods."
Financial Leverage,The use of borrowed funds to increase the potential return on investment.
Volume,The number of shares or contracts traded in a security or an entire market during a given period.
Arbitrage Pricing Theory (APT),A multi-factor asset pricing model based on the idea that an asset's returns can be predicted using the relationship between that asset and many common risk factors.
Merger,A combination of two companies to form a new company.
Risk-Adjusted Return,A measure that adjusts returns for the amount of risk involved.
Risk,"The potential for losing something of value, measured by the probability of an adverse event occurring."
Stock Option,"A privilege, sold by one party to another, that gives the buyer the right, but not the obligation, to buy or sell a stock at an agreed-upon price within a certain period."
Index,A statistical measure of the changes in a portfolio of stocks representing a portion of the overall market.
Gross Margin,"The difference between revenue and cost of goods sold, divided by revenue, expressed as a percentage."
Inverted Yield Curve,"A yield curve that indicates interest rates are higher for short-term bonds than long-term bonds, often seen as a predictor of recession."
Foreign Exchange Market (Forex),A global decentralized or over-the-counter market for trading currencies.
