Term,Definition
Time Value of Money (TVM),The concept that money available at the present time is worth more than the same amount in the future due to its potential earning capacity.
Total Return,The actual rate of return of an investment or a pool of investments over a given evaluation period.
Trade Balance,The difference between a country's imports and its exports.
Trust Deed,A formal document which outlines the terms of a trust agreement.
Variable Cost,A cost that varies with the level of output.
Vesting,The process by which an employee accrues non-forfeitable rights over employer-provided stock incentives or employer contributions to a retirement plan.
Warrant,"A derivative that confers the right, but not the obligation, to buy or sell a security, usually equity, at a certain price before expiration."
Yield Spread,"The difference between the yields on different debt instruments, calculated by deducting the yield of one instrument from another."
Zero-Based Budgeting,A method of budgeting in which all expenses must be justified for each new period.
Accretion,The gradual increase in the value of a bond due to the interest earned but not yet paid.
Acquisition,When one company purchases most or all of another company's shares to gain control of that company.
Adjustable-Rate Mortgage (ARM),A mortgage with an interest rate that can change periodically based on the changes in a corresponding financial index.
Affiliated Company,A company that is related to another company by being in the position of a member or a subordinate role.
Alpha,"A measure of the active return on an investment, the performance of an investment compared to a suitable market index."
Alternative Minimum Tax (AMT),"A tax imposed to ensure that individuals and corporations that benefit from certain exclusions, deductions, or credits pay at least a minimum amount of tax."
Amalgamation,The combination of one or more companies into a new entity.
Annual Percentage Rate (APR),The annual rate charged for borrowing or earned through an investment.
Annual Report,A comprehensive report on a company's activities and financial performance throughout the preceding year.
Appreciation,An increase in the value of an asset over time.
Arbitrage Pricing Theory (APT),A multi-factor asset pricing model based on the idea that an asset's returns can be predicted using the relationship between that asset and many common risk factors.
Asset Management,"The direction of a client's cash and securities by a financial services company, usually an investment bank."
Authorized Share Capital,"The maximum number of shares that a corporation is legally permitted to issue, as specified in its articles of incorporation."
Averaging Down,The process of buying additional shares of a stock at a lower price than the original purchase price to bring down the average purchase price.
Back-End Load,"A fee that investors pay when selling mutual fund shares, usually used to discourage withdrawals."
Backwardation,A market condition where the spot price of a commodity is higher than the future price.
Balance of Trade,The difference between the monetary value of a nation's exports and imports over a certain period.
Base Currency,"The first currency listed in a forex pair, also known as the transaction currency."
Basis Point,"One hundredth of one percent, used chiefly in expressing differences in interest rates."
Bear Spread,An options strategy used when a decline in the price of the underlying asset is expected.
Bid-Ask Spread,The amount by which the ask price exceeds the bid price for an asset in the market.
Blue Chip Stocks,"Shares in large, industry-leading companies with a history of stable growth and reliability."
Bond Yield,The amount of return an investor realizes on a bond.
Break-Even Point,The production level where total revenues equal total expenses.
Brokerage Fee,A fee charged by a broker to execute transactions or provide specialized services.
Bull Spread,An options strategy used when an increase in the price of the underlying asset is expected.
Capital Gains Distribution,The payment to shareholders that results from the sale of securities in a mutual fund's portfolio.
Cash Reserve Ratio (CRR),A central bank regulation that sets the minimum fraction of customer deposits and notes that each commercial bank must hold as reserves.
Chartist,An analyst who uses charts or graphs of a security's historical prices or levels to forecast its future trends.
Chattel Mortgage,A loan arrangement in which an item of movable personal property is used as security for the loan.
Closed-End Fund,A type of investment fund that has a fixed number of shares which are not redeemable from the fund.
Commodities Exchange,An entity that provides a marketplace for the buying and selling of commodities.
Convertible Bond,A type of bond that can be converted into a predetermined amount of the underlying company's equity at certain times during the bond's life.
Credit Limit,The maximum amount of credit that a financial institution extends to a client.
Credit Union,A member-owned financial cooperative that provides traditional banking services.
Current Account,"A country's trade balance, plus net income, and direct payments between it and other countries."
Custodial Account,"An account created for the benefit of a minor, with an adult custodian managing the account until the minor reaches a certain age."
Cyclical Stock,A stock that is affected by macroeconomic or systematic changes in the overall economy.
Deferred Income,Income that is received but not immediately earned.
Depository Receipt,A negotiable financial instrument issued by a bank to represent a foreign company's publicly traded securities.
Depression,A severe and prolonged downturn in economic activity.
Diversification,A risk management strategy that mixes a wide variety of investments within a portfolio.
Dividend Reinvestment Plan (DRIP),A plan offered by a corporation that allows investors to reinvest their cash dividends into additional shares of stock.
Dow Jones Industrial Average (DJIA),A stock market index that measures the stock performance of 30 large companies listed on stock exchanges in the United States.
Duration,A measure of the sensitivity of the price of a bond to a change in interest rates.
Efficient Market Hypothesis (EMH),The theory that asset prices fully reflect all available information.
Equity Market,"A market in which shares are issued and traded, either through exchanges or over-the-counter markets."
Escrow,A financial arrangement where a third party holds and regulates payment of the funds required for two parties involved in a given transaction.
Exchange Rate Risk,The risk of an investment's value changing due to changes in currency exchange rates.
Fair Market Value (FMV),"An estimate of the market value of a property, based on what a knowledgeable, willing, and unpressured buyer would likely pay to a knowledgeable, willing, and unpressured seller in the market."
Federal Reserve System,The central banking system of the United States.
Fiduciary,A person or organization that acts on behalf of another person or persons to manage assets.
Financial Planner,A qualified investment professional who helps individuals and corporations meet their long-term financial objectives.
Fiscal Year,A one-year period that companies and governments use for financial reporting and budgeting.
Fixed Income,An investment approach focused on preservation of capital and income.
Floating Interest Rate,An interest rate that moves up and down with the market or an index.
Forex Market,The market in which currencies are traded.
Gearing,The ratio of a company's loan capital (debt) to the value of its ordinary shares (equity).
General Obligation Bond,A municipal bond backed by the credit and taxing power of the issuing jurisdiction rather than the revenue from a given project.
Going Public,The process of selling shares that were formerly privately held to new investors for the first time.
Hard Asset,A tangible asset such as real estate or commodities.
Hedging,Making an investment to reduce the risk of adverse price movements in an asset.
Holding Period,The amount of time an investment is held by an investor.
Impairment,A permanent reduction in the value of a company's asset.
Income Fund,"A mutual fund that primarily seeks to provide a steady income to investors, often in the form of dividends or interest."
Insolvency,A situation where an individual or organization can no longer meet its financial obligations with its lender or lenders as debts become due.
Inverted Yield Curve,"A yield curve that indicates interest rates are higher for short-term bonds than long-term bonds, often seen as a predictor of recession."
J-Curve,"A type of diagram where a curve initially falls, but then rises to a higher level than before the fall."
Kiting,The illegal practice of writing a check for value greater than the account balance.
"Last In, First Out (LIFO)",An inventory valuation method where the latest items added to inventory are the first to be used.
Leaseback,An arrangement where the seller of an asset leases back the same asset from the purchaser.
Letter of Credit,A document issued by a bank guaranteeing that a buyer's payment to a seller will be received on time and for the correct amount.
Leverage Ratio,A financial ratio that measures the amount of debt used to finance assets.
Liquidity Premium,The extra return that investors demand to compensate for the risk of an investment not being easily converted into cash.
Living Trust,A trust created by a living person to hold assets during their lifetime and to distribute the assets upon their death.
Loan-to-Value Ratio (LTV),A ratio used by lenders to express the ratio of a loan to the value of an asset purchased.
London Interbank Offered Rate (LIBOR),The benchmark rate that some of the world’s leading banks charge each other for short-term loans.
Managed Fund,An investment fund that is managed by a professional investment manager.
Margin Account,A brokerage account in which the broker lends the customer cash to purchase securities.
Marginal Tax Rate,The tax rate that applies to the last dollar of the taxable income.
Market Capitalization (Market Cap),The total dollar market value of a company's outstanding shares of stock.
Market Risk,The risk of losses in positions arising from movements in market prices.
Maturity Date,"The date on which the principal amount of a note, draft, acceptance bond, or other debt instrument becomes due."
Real Estate Investment Trust (REIT),"A company that owns, operates, or finances income-producing real estate."
Return on Assets (ROA),An indicator of how profitable a company is relative to its total assets.
Risk-Adjusted Return,A measure that adjusts returns for the amount of risk involved.
